price_level,single_online,single_online_child,single_offline,single_offline_child,multi,multi_child,day_solo,day_plus,mobi_7,mobi_9,mobi_31,solo_31,abo_3,abo_6,abo_12,abo_12_plus,abo_12_9,student_week,student_month,semester_basis,semester_addition,365_ticket
A,2.75,1.37,3.2,1.6,11,5.5,8.3,12.3,26.7,73.4,90.9,80.1,73.9,68.9,61.6,67.5,37.9,20.7,60.5,75,207,365
B,2.25,1.12,2.6,1.3,9,4.5,5.4,8.7,22.1,60.1,74.6,67.9,63,59.4,50.7,56.9,26,16.8,50.1,75,207,365
C,2.05,1.02,2.4,1.2,8.2,4.1,4.8,7.8,17.8,49.5,60.7,54.4,51.3,48.4,41.5,45.7,25.5,13.7,41.1,75,207,365
D,1.7,0.85,2,1,6.8,3.4,4.5,7.2,14.4,39,48.5,44.1,41.9,39.6,34.5,37.7,21.2,11.2,33.5,75,207,365
E,1.48,0.72,1.6,0.8,6,2.9,3.5,5.6,12.2,33.7,41.7,37.6,35.6,33.7,29.7,32.5,18.3,9.5,28.3,75,207,365
F,1.2,0.62,1.3,0.7,5,2.5,2.8,4.7,9.9,27.1,33.8,30.3,28.7,27.1,23.9,26.2,14.7,7.7,23.1,75,207,365
K,1.45,0.72,1.7,0.8,5.8,2.9,,,,,,,,,,,,,,75,207,365
1,1.7,0.85,2,1,6.8,3.4,4.5,8.9,14.4,39,48.5,44.1,41.9,39.6,34.5,37.7,21.2,11.2,33.5,75,207,365
2,2.41,1.2,2.6,1.3,,,5.4,8.9,23.2,64.9,79.6,71.7,67.9,64.2,56.7,62.1,34.9,18.1,54,75,207,365
2 + T,3.44,1.76,3.7,1.9,,,12.9,12.9,28,77.1,95.2,85.8,81.3,76.8,67.8,74.3,49.5,21.6,64.7,75,207,365
3,3.44,1.76,3.7,1.9,,,12.9,12.9,31.1,77.1,105.9,95.3,90.3,85.3,75.6,82.8,49.5,24,71.8,75,207,365
3 + T,4.65,2.32,5,2.5,,,12.9,12.9,36.6,77.1,125.3,112.9,107,101,89.2,97.7,49.5,28.5,85.1,75,207,365
4,4.65,2.32,5,2.5,,,12.9,12.9,40.1,77.1,137.4,123.5,117,110.5,97.4,106.7,49.5,31.1,93.1,75,207,365
4 + T,4.65,2.32,5,2.5,,,12.9,12.9,43.1,77.1,147.6,132.7,125.7,118.8,104.8,114.8,49.5,33.5,100.1,75,207,365
5,5.76,2.88,6.2,3.1,,,16.8,16.8,46.8,96.1,160.2,144.2,136.6,129.1,114,124.8,78.7,36.4,108.7,75,207,365
5 + T,5.76,2.88,6.2,3.1,,,16.8,16.8,50,96.1,171.1,154.1,146,137.9,121.9,133.5,78.7,38.9,116.3,75,207,365
6,6.88,3.44,7.4,3.7,,,16.8,16.8,52.5,96.1,179.4,161.6,153.1,144.6,127.9,140.1,78.7,40.6,121.5,75,207,365
6 + T,6.88,3.44,7.4,3.7,,,16.8,16.8,57.1,96.1,195.4,176.1,166.9,157.6,139.7,153,78.7,44.4,132.8,75,207,365
7,8.09,4.09,8.7,4.4,,,16.8,16.8,61.4,96.1,209.8,189,179.1,169.2,149.7,163.7,78.7,47.6,142.2,75,207,365
7 + T,8.09,4.09,8.7,4.4,,,16.8,16.8,65.9,96.1,224.7,202.5,191.9,181.2,160.3,175.5,78.7,51,152.4,75,207,365
8,9.2,4.65,9.9,5,,,20.3,20.3,70,105.1,239.3,215.6,204.3,193,171.1,187.2,95,54.3,162.5,75,207,365
8 + T,9.2,4.65,9.9,5,,,20.3,20.3,73.9,105.1,252.5,227.5,215.6,203.16,180,197.1,95,57.2,171.1,75,207,365
9,10.32,5.2,11.1,5.6,,,20.3,20.3,78.1,105.1,267,240.6,228,215.3,190.5,208.6,95,60.6,181.1,75,207,365
9 + T,10.32,5.2,11.1,5.6,,,20.3,20.3,81.8,105.1,279.7,252,238.8,225.5,199.7,218.7,95,63.5,189.8,75,207,365
10,11.43,5.67,12.3,6.1,,,20.3,20.3,86.5,105.1,295.8,266.5,252.5,238.5,211,231.1,95,67.1,200.6,75,207,365
10 + T,11.43,5.67,12.3,6.1,,,20.3,20.3,93,105.1,318.2,286.7,271.6,256.6,226.6,247.8,95,72,215.2,75,207,365
