price_level,single_online,single_online_child,single_offline,single_offline_child,multi,multi_child,day_solo,day_plus,mobi_7,mobi_9,mobi_31,solo_31,abo_3,abo_6,abo_12,abo_12_plus,abo_12_9,student_week,student_month,365_ticket
A,3.25,1.62,3.7,1.8,13,6.5,9.7,14.3,31,86.3,105.5,94.1,86.5,80.7,72.2,79.1,44.2,23.7,70.8,365
B,2.69,1.35,3,1.5,10.8,5.4,6.4,10.1,26.7,72.7,90.2,80.8,73.7,69.5,59.2,64.8,30,19.6,58.7,365
C,2.42,1.21,2.8,1.4,9.7,4.9,5.7,9.1,20.9,58.3,71.6,63.9,59.7,56.3,48.3,52.9,29.7,16.1,48.2,365
D,1.97,0.97,2.4,1.2,7.9,3.9,5.1,8.3,16.6,44.9,55.9,50.6,47.9,45.3,39.4,43.1,24.5,13.1,39.2,365
E,1.75,0.86,1.9,1,7,3.5,4.1,6.5,14.3,39.5,49.1,44.2,41.8,39.4,34.7,38,21.3,11.1,33.2,365
F,1.39,0.7,1.5,0.8,5.9,2.9,3.3,5.6,12.2,33.3,41.4,36,33.4,31.5,27.8,30.4,17.1,9,27,365
K,1.67,0.82,2,1,6.7,3.3,,,,,,,,,,,,,,365
1,1.97,0.97,2.4,1.2,7.9,3.9,5.1,10.5,16.6,44.9,55.9,50.6,47.9,45.3,39.4,43.1,24.5,13.1,39.2,365
2,2.79,1.39,3,1.5,,,6.4,10.5,27.5,76.7,94.2,84.7,80.3,75.5,66.3,72.6,40.6,21.1,63.2,365
2 + T,4.02,2.07,4.4,2.3,,,15.1,15.1,33.2,91,112.7,101.3,95.6,90.3,79.1,86.6,57.5,25.3,75.8,365
3,4.02,2.07,4.4,2.3,,,15.1,15.1,36.8,91,125.3,112.5,106.3,100.3,88.3,96.7,57.5,28.1,84,365
3 + T,5.46,2.79,5.9,3,,,15.1,15.1,43.4,91,148.3,133.3,125.7,118.8,104.3,114.2,57.5,33.3,99.7,365
4,5.46,2.79,5.9,3,,,15.1,15.1,47.4,91,162.6,145.8,137.5,129.9,113.7,124.5,57.5,36.5,109,365
4 + T,5.46,2.79,5.9,3,,,15.1,15.1,51,91,174.5,156.6,147.7,139.6,122.5,134.1,57.5,39.2,117.2,365
5,6.7,3.39,7.3,3.7,,,19.8,19.8,55.4,113.5,189.4,170.2,160.6,151.7,133.2,145.9,91.5,42.6,127.3,365
5 + T,6.7,3.39,7.3,3.7,,,19.8,19.8,59.2,113.5,202.3,181.8,171.6,162.1,142.5,156,91.5,45.6,136.2,365
6,8.05,4.02,8.8,4.4,,,19.8,19.8,62.1,113.5,212,190.7,179.9,169.9,149.5,163.7,91.5,47.6,142.3,365
6 + T,8.05,4.02,8.8,4.4,,,19.8,19.8,67.6,113.5,230.9,207.8,196,185.1,163.2,178.7,91.5,52,155.5,365
7,9.49,4.74,10.3,5.2,,,19.8,19.8,72.6,113.5,247.9,223.1,210.5,198.8,175,191.6,91.5,55.7,166.5,365
7 + T,9.49,4.74,10.3,5.2,,,19.8,19.8,77.9,113.5,265.6,239.1,225.6,213.1,187.5,205.3,91.5,59.7,178.5,365
8,10.73,5.37,11.7,5.9,,,23.9,23.9,82.7,124.1,283,254.5,240,226.8,200,219,110.3,63.6,190.3,365
8 + T,10.73,5.37,11.7,5.9,,,23.9,23.9,87.4,124.1,298.6,268.6,253.4,239.3,210.4,230.4,110.3,67,200.4,365
9,12.08,6.09,13.1,6.6,,,23.9,23.9,92.3,124.1,315.7,283.9,267.8,253.1,222.7,243.9,110.3,70.9,212.1,365
9 + T,12.08,6.09,13.1,6.6,,,23.9,23.9,96.8,124.1,330.7,297.4,280.5,265.1,233.4,255.6,110.3,74.3,222.2,365
10,13.42,6.7,14.5,7.3,,,23.9,23.9,102.3,124.1,349.7,314.6,296.7,280.3,246.5,269.9,110.3,78.6,234.9,365
10 + T,13.42,6.7,14.5,7.3,,,23.9,23.9,109.9,124.1,376,338.3,319.2,301.5,264.8,290.1,110.3,84.3,252,365
