price_level,single_online,single_online_child,single_offline,single_offline_child,multi,multi_child,day_solo,day_plus,mobi_7,mobi_9,mobi_31,solo_31,abo_3,abo_6,abo_12,abo_12_plus,abo_12_9,student_week,student_month,365_ticket
A,3,1.5,3.4,1.7,12.2,6.1,9,13.3,29.1,80,99,87.2,80.3,74.8,67,73.3,41,22.5,65.7,365
B,2.5,1.25,2.8,1.4,10,5,5.9,9.4,24.7,67.3,83.5,74.8,68.2,64.3,54.8,61.6,27.9,18.2,54.5,365
C,2.25,1.12,2.6,1.3,9,4.5,5.3,8.5,19.4,54.1,66.3,59.8,55.4,52.2,44.8,49.3,27.5,14.9,44.7,365
D,1.85,0.92,2.2,1.1,7.4,3.7,4.8,7.8,15.5,42,52.3,47.3,44.9,42.4,36.9,40.4,22.7,12.2,36.4,365
E,1.62,0.8,1.8,0.9,6.5,3.2,3.8,6.1,13.3,36.7,45.5,41,38.8,36.6,32.2,35.3,19.8,10.3,30.8,365
F,1.3,0.65,1.4,0.7,5.5,2.7,3.1,5.2,11.3,30.9,38.6,33.7,31,29.3,25.8,28.3,15.9,8.4,25.1,365
K,1.52,0.75,1.9,0.9,6.1,3,,,,,,,,,,,,,,365
1,1.85,0.92,2.2,1.1,7.4,3.7,4.8,9.7,15.5,42,52.3,47.3,44.9,42.4,36.9,40.4,22.7,12.2,36.4,365
2,2.59,1.3,2.8,1.4,,,5.9,9.7,25.5,71,87.2,78.4,74.3,69.9,61.4,67.2,37.6,19.6,58.7,365
2 + T,3.73,1.92,4.1,2.1,,,14,14,30.7,84.3,104.3,93.8,88.5,83.6,73.3,80.3,53.3,23.5,70.4,365
3,3.73,1.92,4.1,2.1,,,14,14,34.1,84.3,116,104.2,98.4,92.9,81.8,89.6,53.3,26.1,78,365
3 + T,5.07,2.59,5.5,2.8,,,14,14,40.2,84.3,137.3,123.4,116.4,110,96.6,105.8,53.3,30.9,92.5,365
4,5.07,2.59,5.5,2.8,,,14,14,43.9,84.3,150.6,135,127.3,120.3,105.4,115.4,53.3,33.8,101.2,365
4 + T,5.07,2.59,5.5,2.8,,,14,14,47.2,84.3,161.6,145,136.8,129.3,113.5,124.3,53.3,36.4,108.8,365
5,6.22,3.15,6.7,3.4,,,18.3,18.3,51.3,105.1,175.4,157.6,148.7,140.5,123.4,135.1,84.8,39.5,118.2,365
5 + T,6.22,3.15,6.7,3.4,,,18.3,18.3,54.8,105.1,187.3,168.4,158.9,150.1,132,144.5,84.8,42.3,126.4,365
6,7.47,3.73,8.1,4.1,,,18.3,18.3,57.5,105.1,196.3,176.6,166.6,157.3,138.5,151.7,84.8,44.2,132.1,365
6 + T,7.47,3.73,8.1,4.1,,,18.3,18.3,62.6,105.1,213.8,192.4,181.5,171.4,151.2,165.6,84.8,48.3,144.3,365
7,8.81,4.4,9.5,4.8,,,18.3,18.3,67.2,105.1,229.5,206.6,194.9,184.1,162.1,177.5,84.8,51.7,154.5,365
7 + T,8.81,4.4,9.5,4.8,,,18.3,18.3,72.1,105.1,245.9,221.4,208.9,197.3,173.7,190.2,84.8,55.4,165.7,365
8,9.96,4.98,10.8,5.4,,,22.1,22.1,76.6,115,262,235.7,222.3,210,185.3,202.9,102.2,59.1,176.6,365
8 + T,9.96,4.98,10.8,5.4,,,22.1,22.1,80.9,115,276.5,248.7,234.7,221.6,194.9,213.4,102.2,62.2,186,365
9,11.21,5.65,12.1,6.1,,,22.1,22.1,85.5,115,292.3,262.9,248,234.4,206.3,225.9,102.2,65.9,196.9,365
9 + T,11.21,5.65,12.1,6.1,,,22.1,22.1,89.6,115,306.2,275.4,259.8,245.5,216.2,236.7,102.2,69,206.2,365
10,12.46,6.22,13.4,6.7,,,22.1,22.1,94.7,115,323.8,291.3,274.8,259.6,228.4,250.1,102.2,72.9,218,365
10 + T,12.46,6.22,13.4,6.7,,,22.1,22.1,101.8,115,348.2,313.3,295.6,279.2,245.4,268.7,102.2,78.2,233.9,365
